РЦ Транзитный,РЦ Географический,Код ТП,Наименование ТП,Тип склада,Формат для диаграмм,Целевая ЦП,Действующая ЦП,СТМ,Признак объемности,Локальность,"отгрузки по РЦ-ТП сред знач за 3 мес, пал","отгрузки по ТРЦ-ТП сред знач за 3 мес, пал"
РЦ Самара (а),РЦ ПД Тольятти,823261,SKU_043619,Основной склад,МД,ТРЦ,ПД,Нет,-,-,1.36,1.68
РЦ Самара (а),РЦ ПД Киров,326618,SKU_001420,Пресервы,МД,ФРЦ,ФРЦ,Нет,-,-,1.12,1.37
РЦ Самара (а),РЦ ПД Пенза,346574,SKU_026393,Основной склад,МД,ПД,ПД,Нет,-,-,0.57,0.7
РЦ Самара (а),РЦ ПД Тольятти,447056,SKU_041236,Основной склад,БФ,ТРЦ,ТРЦ,Нет,-,-,13.31,13.78
РЦ Самара (а),РЦ ПД Пенза,301424,SKU_049621,Основной склад,ФД,ПД,ПД,Нет,+,-,6.59,7.95
РЦ Самара (а),РЦ ПД Киров,925156,SKU_012651,Охлажденка,МИКС,ПД,ПД,Нет,-,-,3.67,3.68
РЦ Самара (а),РЦ ПД Энгельс,440117,SKU_028662,Основной склад,МИКС,МП,МП,Да,-,-,0.04,0.06
РЦ Самара (а),РЦ ПД Тольятти,775608,SKU_024064,Охлажденка,БФ,ПД,ПД,Нет,-,-,41.43,42.3
РЦ Самара (а),РЦ ПД Зеленодольск,477394,SKU_019096,Заморозка,БФ,ТРЦ,ТРЦ,Да,-,Регион.,0.14,0.19
РЦ Самара (а),РЦ ПД Пенза,866399,SKU_047712,Основной склад,МД,ТРЦ PBL,ПД,Нет,-,-,0.11,0.11
РЦ Самара (а),РЦ ПД Тольятти,198194,SKU_026473,Основной склад,БФ,ПД,ПД,Нет,-,-,2.58,2.61
РЦ Самара (а),РЦ ПД Тольятти,867717,SKU_035020,Основной склад,МК,ПД,ПД,Нет,-,-,11.53,12.48
РЦ Самара (а),РЦ ПД Зеленодольск,278820,SKU_013733,Основной склад,МД,ТРЦ,ТРЦ,Нет,+,-,32.08,34.03
РЦ Самара (а),РЦ ПД Энгельс,298653,SKU_023998,Пресервы,МД,ПД,ПД,Нет,-,-,0.24,0.3
РЦ Самара (а),РЦ ПД Тольятти,989126,SKU_035017,Охлажденка,ТД,ПД,ПД,Нет,-,-,0.26,0.28
РЦ Самара (а),РЦ ПД Зеленодольск,431819,SKU_040965,Охлажденка,МИКС,МП,МП,Нет,-,-,0.72,0.78
РЦ Самара (а),РЦ ПД Пенза,851284,SKU_008342,Основной склад,МИКС,ПД,ПД,Да,-,-,6.93,8.85
РЦ Ростов (а),РЦ ПД Ростов,329907,SKU_049702,Основной склад,МИКС,ФРЦ,ФРЦ,Нет,-,-,3.76,3.89
РЦ Самара (а),РЦ ПД Пенза,877167,SKU_046497,Основной склад,МК,Федеральный пулинг,ПД,Нет,-,-,6.69,8.37
РЦ Самара (а),РЦ ПД Киров,212054,SKU_010161,Основной склад,МД,ПД,ПД,Да,-,-,42.28,49.4
РЦ Самара (а),РЦ ПД Энгельс,659354,SKU_034939,Охлажденка,МД,ПД,ПД,Нет,-,-,0.74,0.89
РЦ Самара (а),РЦ ПД Киров,827093,SKU_016219,Основной склад,МИКС,ТРЦ,ТРЦ,Нет,-,-,2.92,3.01
РЦ Самара (а),РЦ ПД Киров,787889,SKU_037997,Основной склад,МИКС,МП,МП,Нет,-,-,4.35,5.85
РЦ Самара (а),РЦ ПД Киров,645278,SKU_043441,Охлажденка,ФД,МП,МП,Да,-,-,1.52,2.12
РЦ Самара (а),РЦ ПД Киров,990778,SKU_046438,Основной склад,ТД,ТРЦ,ФРЦ,Нет,-,-,0.35,0.41
РЦ Самара (а),РЦ ПД Пенза,946237,SKU_024071,Основной склад,МД,ТРЦ PBL,ТРЦ PBL,Нет,-,-,2.7,3.13
РЦ Самара (а),РЦ ПД Тольятти,587986,SKU_017579,5-я камера,МК,ТРЦ,ПД,Нет,-,-,7.29,8.99
РЦ Самара (а),РЦ ПД Тольятти,189854,SKU_038095,Основной склад,МК,Федеральный пулинг,Федеральный пулинг,Нет,-,-,2.35,3.28
РЦ Самара (а),РЦ ПД Пенза,120430,SKU_045218,Охлажденка,ТД,ПД,ПД,Нет,-,-,2.64,3.09
РЦ Самара (а),РЦ ПД Пенза,541904,SKU_001140,Основной склад,МД,МП,МП,Нет,-,-,4.05,4.47
РЦ Самара (а),РЦ ПД Пенза,921987,SKU_042459,Основной склад,ТД,ФРЦ,ФРЦ,Нет,-,-,0.99,1.25
РЦ Самара (а),РЦ ПД Тольятти,231303,SKU_005518,5-я камера,БФ,ФРЦ,ФРЦ,Нет,+,-,1.33,1.39
РЦ Самара (а),РЦ ПД Энгельс,992524,SKU_047535,Основной склад,МК,ПД,ПД,Нет,-,-,0.56,0.71
РЦ Самара (а),РЦ ПД Энгельс,330551,SKU_040185,Основной склад,МД,ФРЦ,ФРЦ,Нет,-,-,3.97,4.19
РЦ Самара (а),РЦ ПД Пенза,884242,SKU_045538,5-я камера,МК,ПД,ПД,Нет,-,-,2.16,2.78
РЦ Самара (а),РЦ ПД Энгельс,239762,SKU_014489,Охлажденка,МК,ПД,ПД,Нет,-,-,3.12,3.75
РЦ Самара (а),РЦ ПД Пенза,298106,SKU_024018,Заморозка,МД,ПД,ТРЦ PBL,Да,-,-,2.36,3.13
РЦ Самара (а),РЦ ПД Пенза,377078,SKU_021363,Основной склад,МД,ПД,ПД,Нет,-,-,13.03,13.43
РЦ Самара (а),РЦ ПД Тольятти,326295,SKU_006278,Охлажденка,ФД,ТРЦ,ТРЦ,Нет,-,-,2.94,3.69
РЦ Самара (а),РЦ ПД Тольятти,969642,SKU_029046,Охлажденка,МД,ПД,ПД,Нет,-,-,3.13,3.27
РЦ Самара (а),РЦ ПД Зеленодольск,727656,SKU_033603,Основной склад,МД,ПД,ПД,Да,-,-,48.55,60.2
РЦ Самара (а),РЦ ПД Пенза,790582,SKU_049786,Основной склад,МД,ПД,ПД,Нет,-,-,11.44,11.78
РЦ Самара (а),РЦ ПД Зеленодольск,256626,SKU_038989,5-я камера,БФ,ПД,ПД,Нет,-,-,3.96,5.49
РЦ Самара (а),РЦ ПД Энгельс,996549,SKU_043812,5-я камера,МИКС,ПД,ПД,Нет,-,-,7.75,7.88
РЦ Самара (а),РЦ ПД Энгельс,803706,SKU_019821,Основной склад,МИКС,ПД,ПД,Нет,-,-,0.05,0.06
РЦ Самара (а),РЦ ПД Зеленодольск,702199,SKU_027285,Основной склад,МД,ПД,ТРЦ,Нет,-,-,0.74,0.99
РЦ Самара (а),РЦ ПД Тольятти,407274,SKU_005513,Основной склад,МД,ПД,ПД,Нет,-,-,1.95,2.48
РЦ Самара (а),РЦ ПД Зеленодольск,918680,SKU_012700,Охлажденка,МИКС,ПД,ПД,Нет,-,-,2.76,3.69
РЦ Самара (а),РЦ ПД Тольятти,331150,SKU_014991,Пресервы,МК,ПД,ПД,Да,-,-,3.4,4.65
РЦ Самара (а),РЦ ПД Тольятти,249567,SKU_045740,Основной склад,ТД,ПД,ПД,Нет,-,-,2.48,2.53
РЦ Самара (а),РЦ ПД Тольятти,416925,SKU_022961,5-я камера,МД,ФРЦ,ПД,Нет,-,-,0.73,0.88
РЦ Самара (а),РЦ ПД Тольятти,562093,SKU_047466,Основной склад,МИКС,ФРЦ,ФРЦ,Нет,-,-,0.63,0.77
РЦ Самара (а),РЦ ПД Энгельс,844761,SKU_011704,Охлажденка,МД,ФРЦ,ФРЦ,Нет,-,-,0.26,0.31
РЦ Самара (а),РЦ ПД Тольятти,603689,SKU_005863,Основной склад,МИКС,МП,МП,Нет,-,-,0.82,1.03
РЦ Самара (а),РЦ ПД Пенза,788863,SKU_033205,Заморозка,МД,ТРЦ,ТРЦ,Нет,-,-,2.13,2.26
РЦ Самара (а),РЦ ПД Зеленодольск,416590,SKU_029733,5-я камера,МД,ПД,ПД,Нет,-,-,2.45,3.09
РЦ Самара (а),РЦ ПД Тольятти,211510,SKU_032809,Основной склад,МД,ФРЦ,ФРЦ,Нет,-,-,8.95,10.56
РЦ Самара (а),РЦ ПД Киров,902941,SKU_047375,Охлажденка,ТД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,2.58,3.56
РЦ Самара (а),РЦ ПД Киров,413136,SKU_016372,Основной склад,МД,ПД,ПД,Нет,-,-,1.03,1.4
РЦ Самара (а),РЦ ПД Энгельс,612410,SKU_035193,Основной склад,МД,ФРЦ,ФРЦ,Нет,-,-,1.43,1.49
РЦ Самара (а),РЦ ПД Энгельс,463232,SKU_012446,Основной склад,МД,ПД,ПД,Нет,-,-,0.67,0.69
РЦ Самара (а),РЦ ПД Киров,745813,SKU_030468,Заморозка,МД,ПД,ПД,Нет,-,-,0.3,0.31
РЦ Самара (а),РЦ ПД Тольятти,432165,SKU_004070,Основной склад,ТД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,1.2,1.56
РЦ Самара (а),РЦ ПД Пенза,299089,SKU_002103,Охлажденка,БФ,ПД,ПД,Нет,-,-,3.43,4.79
РЦ Самара (а),РЦ ПД Зеленодольск,232130,SKU_001310,Охлажденка,МК,ПД,ПД,Нет,-,-,8.7,8.82
РЦ Самара (а),РЦ ПД Киров,138421,SKU_010392,Основной склад,МИКС,ТРЦ,ТРЦ,Нет,-,-,6.78,7.96
РЦ Самара (а),РЦ ПД Тольятти,823922,SKU_012495,Основной склад,МД,ПД,ПД,Нет,+,-,9.23,10.76
РЦ Самара (а),РЦ ПД Зеленодольск,529775,SKU_012112,Заморозка,МИКС,ПД,МП,Нет,-,-,0.91,1.23
РЦ Самара (а),РЦ ПД Киров,749316,SKU_043940,Основной склад,БФ,ПД,ПД,Нет,-,-,3.43,4.15
РЦ Самара (а),РЦ ПД Киров,825372,SKU_018859,Основной склад,ФД,ПД,ПД,Нет,-,-,10.43,13.47
РЦ Самара (а),РЦ ПД Тольятти,924274,SKU_045248,Заморозка,МД,ФРЦ,ФРЦ,Нет,-,-,12.91,13.28
РЦ Самара (а),РЦ ПД Тольятти,488352,SKU_031686,Основной склад,МД,МП,МП,Нет,-,-,2.8,2.88
РЦ Самара (а),РЦ ПД Зеленодольск,311658,SKU_003176,Основной склад,МД,ФРЦ,ФРЦ,Нет,-,-,0.27,0.31
РЦ Самара (а),РЦ ПД Энгельс,292986,SKU_049816,Охлажденка,МИКС,ПД,ПД,Нет,-,-,1.12,1.54
РЦ Самара (а),РЦ ПД Пенза,229071,SKU_035122,Основной склад,МД,Федеральный пулинг,Федеральный пулинг,Нет,-,Локал.,0.59,0.65
РЦ Самара (а),РЦ ПД Тольятти,844853,SKU_036205,Охлажденка,МД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,1.79,2.17
РЦ Самара (а),РЦ ПД Зеленодольск,465209,SKU_031369,Охлажденка,МК,ПД,МП,Нет,-,-,0.53,0.64
РЦ Самара (а),РЦ ПД Тольятти,528132,SKU_043378,Основной склад,МД,ТРЦ,ТРЦ,Нет,-,-,0.95,1.09
РЦ Самара (а),РЦ ПД Пенза,250262,SKU_044909,Заморозка,БФ,ПД,ПД,Нет,-,-,1.74,1.94
РЦ Ивантеевка (а),РЦ ПД Тверь,797468,SKU_019331,Основной склад,БФ,ТРЦ PBL,ТРЦ PBL,Да,-,-,1.01,1.3
РЦ Самара (а),РЦ ПД Тольятти,534875,SKU_027590,Заморозка,МД,Федеральный пулинг,Федеральный пулинг,Нет,-,-,7.51,8.23
РЦ Самара (а),РЦ ПД Энгельс,327800,SKU_025853,Охлажденка,ТД,ПД,ПД,Нет,-,-,2.15,2.82
РЦ Самара (а),РЦ ПД Тольятти,862293,SKU_026131,Пресервы,МИКС,ТРЦ PBL,ТРЦ,Нет,-,-,0.87,0.87
РЦ Самара (а),РЦ ПД Тольятти,447853,SKU_034309,Охлажденка,МД,ТРЦ PBL,ТРЦ PBL,Нет,+,-,2.63,2.8
РЦ Самара (а),РЦ ПД Зеленодольск,936298,SKU_032197,Заморозка,МИКС,ПД,ПД,Нет,-,-,0.43,0.56
РЦ Самара (а),РЦ ПД Зеленодольск,349238,SKU_048554,Заморозка,МД,ТРЦ PBL,ТРЦ PBL,Нет,-,-,0.61,0.82
РЦ Самара (а),РЦ ПД Зеленодольск,140866,SKU_047901,Охлажденка,МК,Федеральный пулинг,Федеральный пулинг,Нет,-,-,1.91,2.09
РЦ Самара (а),РЦ ПД Пенза,901871,SKU_011303,Заморозка,ТД,ТРЦ PBL,ТРЦ PBL,Нет,-,-,8.72,9.77
РЦ Самара (а),РЦ ПД Тольятти,295358,SKU_029066,Основной склад,БФ,ПД,ТРЦ,Нет,-,-,0.14,0.14
РЦ Самара (а),РЦ ПД Тольятти,794782,SKU_004935,Заморозка,МД,ПД,ПД,Нет,-,-,1.47,1.78
РЦ Подольск (а),РЦ ПД Тула,478832,SKU_002890,Основной склад,МИКС,ПД,ПД,Нет,-,-,8.14,9.9
РЦ Самара (а),РЦ ПД Тольятти,969096,SKU_036095,Охлажденка,МД,ФРЦ,ФРЦ,Нет,-,-,2.96,3.3
РЦ Самара (а),РЦ ПД Зеленодольск,304523,SKU_012621,Основной склад,МИКС,ПД,ПД,Нет,-,-,4.38,4.44
РЦ Самара (а),РЦ ПД Зеленодольск,289055,SKU_002767,Основной склад,ФД,ПД,ПД,Нет,-,-,10.71,11.13
РЦ Самара (а),РЦ ПД Тольятти,640133,SKU_013591,Основной склад,МД,ПД,ПД,Нет,-,-,2.22,2.96
РЦ Самара (а),РЦ ПД Зеленодольск,454256,SKU_008203,Основной склад,БФ,ФРЦ,ФРЦ,Нет,-,-,8.14,10.94
РЦ Самара (а),РЦ ПД Тольятти,337710,SKU_047148,Заморозка,МД,ПД,ПД,Нет,-,-,7.6,10.01
РЦ Самара (а),РЦ ПД Зеленодольск,120512,SKU_019696,Основной склад,МК,ПД,ТРЦ PBL,Нет,-,-,9.62,11.16
РЦ Самара (а),РЦ ПД Киров,967658,SKU_045235,Основной склад,МИКС,ФРЦ,ФРЦ,Нет,-,-,1.39,1.69
РЦ Самара (а),РЦ ПД Энгельс,678166,SKU_014395,Охлажденка,МД,ПД,ПД,Да,-,-,0.38,0.51
РЦ Самара (а),РЦ ПД Тольятти,566228,SKU_002103,Основной склад,ТД,ПД,ПД,Нет,-,-,0.24,0.26
РЦ Самара (а),РЦ ПД Энгельс,203514,SKU_029557,Основной склад,МД,ПД,ПД,Нет,-,-,13.32,16.82
РЦ Ростов (а),РЦ ПД Ростов,941413,SKU_041541,Основной склад,МД,МП,МП,Нет,-,-,0.9,1.17
РЦ Самара (а),РЦ ПД Киров,882928,SKU_046407,Заморозка,МД,ПД,ПД,Нет,-,-,2.11,2.29
РЦ Самара (а),РЦ ПД Пенза,640529,SKU_046509,Основной склад,МД,ПД,ПД,Да,-,-,2.28,2.97
РЦ Самара (а),РЦ ПД Зеленодольск,248974,SKU_005066,Основной склад,БФ,ПД,ПД,Нет,-,-,0.8,0.98
РЦ Самара (а),РЦ ПД Тольятти,110380,SKU_041487,5-я камера,МД,ПД,Федеральный пулинг,Нет,-,-,1.73,2.22
РЦ Ростов (а),РЦ ПД Краснодар,224394,SKU_000440,Пресервы,МК,ПД,ПД,Нет,-,-,1.46,1.86
РЦ Самара (а),РЦ ПД Пенза,658395,SKU_015345,Основной склад,МИКС,ТРЦ,ТРЦ,Нет,-,-,0.58,0.69
РЦ Самара (а),РЦ ПД Пенза,357986,SKU_000731,Заморозка,МК,Федеральный пулинг,Федеральный пулинг,Нет,-,-,3.21,4.03
РЦ Самара (а),РЦ ПД Энгельс,290217,SKU_022898,Охлажденка,МД,ФРЦ,ФРЦ,Нет,-,-,0.13,0.18
РЦ Самара (а),РЦ ПД Зеленодольск,796271,SKU_001636,Основной склад,МД,МП,ТРЦ,Нет,-,-,0.45,0.46
РЦ Самара (а),РЦ ПД Зеленодольск,642861,SKU_002670,Основной склад,МД,ТРЦ PBL,ПД,Да,-,-,6.02,6.46
РЦ Самара (а),РЦ ПД Тольятти,423353,SKU_036278,Основной склад,МД,ПД,ПД,Нет,-,-,1.43,1.7
РЦ Самара (а),РЦ ПД Пенза,868189,SKU_035634,Основной склад,МД,ПД,ПД,Нет,-,-,2.62,3.04
РЦ Ростов (а),РЦ ПД Ростов,537676,SKU_028483,Основной склад,МИКС,Федеральный пулинг,Федеральный пулинг,Нет,+,-,3.98,4.75
РЦ Самара (а),РЦ ПД Энгельс,314908,SKU_037850,Заморозка,БФ,ПД,ПД,Нет,-,-,3.61,3.85
РЦ Самара (а),РЦ ПД Тольятти,923613,SKU_014193,Основной склад,ФД,ПД,ПД,Нет,-,-,2.52,3.35
РЦ Подольск (а),РЦ ПД Подольск,602984,SKU_020954,Основной склад,МД,ПД,ПД,Да,-,-,4.31,5.47
РЦ Самара (а),РЦ ПД Киров,665647,SKU_049232,Основной склад,МД,ТРЦ,ТРЦ,Нет,-,-,1.24,1.49
РЦ Самара (а),РЦ ПД Тольятти,356445,SKU_006042,Основной склад,МК,ПД,ПД,Нет,-,Регион.,3.96,4.72
РЦ Самара (а),РЦ ПД Пенза,373240,SKU_015759,Основной склад,МД,ТРЦ,ТРЦ,Нет,-,-,4.07,4.15
РЦ Самара (а),РЦ ПД Энгельс,826442,SKU_010594,Основной склад,МК,ПД,ПД,Нет,-,-,1.24,1.58
РЦ Самара (а),РЦ ПД Тольятти,519732,SKU_033066,Охлажденка,МИКС,ФРЦ,ФРЦ,Нет,+,-,3.45,3.61
РЦ Самара (а),РЦ ПД Киров,550926,SKU_036612,Заморозка,МК,МП,МП,Нет,-,-,0.78,1.02
РЦ Самара (а),РЦ ПД Киров,172775,SKU_027851,Основной склад,МД,ПД,ПД,Нет,-,-,0.96,1.16
РЦ Самара (а),РЦ ПД Энгельс,179429,SKU_043688,Заморозка,МИКС,ФРЦ,ФРЦ,Нет,-,-,9.84,10.4
РЦ Самара (а),РЦ ПД Киров,817318,SKU_036634,Основной склад,МД,МП,Федеральный пулинг,Нет,+,-,22.32,23.85
РЦ Подольск (а),РЦ ПД Тула,110435,SKU_041070,Пресервы,МД,ПД,ПД,Нет,-,-,3.63,4.78
РЦ Самара (а),РЦ ПД Тольятти,147706,SKU_030032,Охлажденка,МД,МП,МП,Да,-,-,1.85,2.07
РЦ Самара (а),РЦ ПД Киров,544454,SKU_040934,Охлажденка,БФ,ПД,ПД,Нет,-,-,8.73,11.88
РЦ Самара (а),РЦ ПД Тольятти,111868,SKU_034442,Пресервы,МД,Федеральный пулинг,ТРЦ,Нет,-,-,0.9,1.05
РЦ Самара (а),РЦ ПД Зеленодольск,484891,SKU_018725,Охлажденка,МД,ПД,ПД,Да,-,-,0.9,1.23
РЦ Самара (а),РЦ ПД Тольятти,972024,SKU_024421,Заморозка,МК,ПД,ПД,Нет,-,-,3.83,4.38
РЦ Самара (а),РЦ ПД Пенза,380037,SKU_045329,Основной склад,МД,ПД,ПД,Нет,-,-,2.92,3.8
РЦ Самара (а),РЦ ПД Киров,320615,SKU_007492,Основной склад,ТД,ПД,ПД,Нет,-,-,11.06,13.49
РЦ Самара (а),РЦ ПД Энгельс,312793,SKU_044578,Заморозка,МК,ТРЦ,ТРЦ,Нет,-,-,13.5,14.12
РЦ Самара (а),РЦ ПД Энгельс,510976,SKU_010915,Охлажденка,БФ,ТРЦ,ТРЦ PBL,Нет,-,-,0.94,1.19
РЦ Самара (а),РЦ ПД Пенза,135599,SKU_025311,Основной склад,МД,ПД,МП,Нет,-,-,0.08,0.11
РЦ Самара (а),РЦ ПД Тольятти,380520,SKU_044532,Заморозка,МК,ТРЦ,ТРЦ,Нет,-,-,5.6,6.92
РЦ Самара (а),РЦ ПД Тольятти,578288,SKU_031285,Основной склад,МК,ПД,ПД,Да,-,-,1.37,1.51
РЦ Самара (а),РЦ ПД Пенза,781692,SKU_023722,Заморозка,МД,ПД,ПД,Нет,-,-,0.91,0.98
РЦ Самара (а),РЦ ПД Тольятти,176100,SKU_049029,Пресервы,МД,МП,МП,Нет,-,-,1.8,2.13
РЦ Самара (а),РЦ ПД Тольятти,141488,SKU_045245,Охлажденка,МИКС,МП,ТРЦ,Нет,+,-,0.25,0.3
РЦ Самара (а),РЦ ПД Энгельс,371081,SKU_036437,Основной склад,МК,ПД,ПД,Да,-,-,0.93,1.28
РЦ Самара (а),РЦ ПД Энгельс,532655,SKU_006385,Основной склад,МД,ПД,ПД,Нет,+,-,6.22,8.16
РЦ Самара (а),РЦ ПД Пенза,223323,SKU_018092,Основной склад,МК,ПД,ПД,Да,-,-,0.1,0.14
РЦ Самара (а),РЦ ПД Энгельс,270943,SKU_031985,5-я камера,МД,ФРЦ,ФРЦ,Нет,-,-,1.31,1.44
РЦ Самара (а),РЦ ПД Пенза,807448,SKU_029667,Пресервы,МИКС,ТРЦ,ТРЦ,Нет,+,-,5.38,5.68
РЦ Самара (а),РЦ ПД Энгельс,409683,SKU_043773,Заморозка,МД,МП,МП,Нет,+,-,0.1,0.11
РЦ Самара (а),РЦ ПД Зеленодольск,211707,SKU_048276,Основной склад,ТД,ПД,ПД,Нет,-,Локал.,6.66,8.23
РЦ Самара (а),РЦ ПД Пенза,902711,SKU_025154,Охлажденка,МД,ТРЦ PBL,ТРЦ PBL,Нет,-,-,2.38,2.6
РЦ Самара (а),РЦ ПД Энгельс,321847,SKU_020820,Основной склад,МК,ПД,ПД,Нет,-,Локал.,14.33,15.97
РЦ Самара (а),РЦ ПД Тольятти,843988,SKU_040699,Основной склад,МД,ФРЦ,ФРЦ,Да,-,-,14.61,20.45
РЦ Самара (а),РЦ ПД Киров,165362,SKU_011768,Основной склад,МД,ФРЦ,ФРЦ,Нет,-,-,0.27,0.38
РЦ Самара (а),РЦ ПД Пенза,672181,SKU_018960,Заморозка,БФ,ПД,ТРЦ,Да,-,-,2.14,2.44
РЦ Самара (а),РЦ ПД Зеленодольск,439081,SKU_030321,Заморозка,МД,ФРЦ,ФРЦ,Да,-,-,0.73,0.74
РЦ Самара (а),РЦ ПД Зеленодольск,247863,SKU_007139,Основной склад,МК,ПД,ПД,Нет,-,-,2.67,3.15
РЦ Самара (а),РЦ ПД Зеленодольск,748107,SKU_039807,Основной склад,БФ,ФРЦ,ФРЦ,Да,-,-,0.25,0.3
РЦ Самара (а),РЦ ПД Энгельс,536833,SKU_032122,5-я камера,МД,ПД,ПД,Нет,-,-,5.85,6.01
РЦ Самара (а),РЦ ПД Зеленодольск,772140,SKU_005974,5-я камера,МК,ФРЦ,ФРЦ,Нет,-,Регион.,0.7,0.89
РЦ Самара (а),РЦ ПД Энгельс,788046,SKU_045591,5-я камера,БФ,ПД,ПД,Нет,-,-,1.2,1.61
РЦ Самара (а),РЦ ПД Тольятти,638074,SKU_021541,Основной склад,МД,ПД,ПД,Нет,-,-,2.32,2.56
РЦ Самара (а),РЦ ПД Пенза,190043,SKU_046668,Основной склад,МД,ПД,ПД,Нет,-,-,1.16,1.62
РЦ Самара (а),РЦ ПД Пенза,545576,SKU_038431,Заморозка,МД,ФРЦ,ПД,Нет,-,-,0.68,0.94
РЦ Самара (а),РЦ ПД Тольятти,341871,SKU_013802,Охлажденка,МД,ПД,ПД,Нет,+,-,0.72,0.93
РЦ Самара (а),РЦ ПД Пенза,996369,SKU_033028,Охлажденка,МД,ТРЦ PBL,ТРЦ PBL,Да,-,-,0.41,0.54
РЦ Самара (а),РЦ ПД Киров,122288,SKU_026043,Основной склад,БФ,ПД,ПД,Нет,+,-,15.72,21.9
РЦ Самара (а),РЦ ПД Зеленодольск,173501,SKU_009293,Основной склад,МД,ПД,ПД,Нет,-,-,3.66,4.17
РЦ Самара (а),РЦ ПД Тольятти,107047,SKU_049571,Основной склад,МК,ПД,ПД,Нет,-,-,2.66,3.21
РЦ Самара (а),РЦ ПД Энгельс,955340,SKU_049490,Заморозка,МД,ПД,ПД,Нет,+,-,1.27,1.45
РЦ Самара (а),РЦ ПД Киров,922902,SKU_033612,Основной склад,МИКС,ПД,ПД,Нет,-,-,0.69,0.75
РЦ Самара (а),РЦ ПД Киров,667959,SKU_016790,Основной склад,ФД,ПД,ПД,Нет,-,-,0.97,1.04
РЦ Самара (а),РЦ ПД Пенза,408730,SKU_024935,Основной склад,МД,ПД,ПД,Нет,-,-,1.27,1.56
РЦ Самара (а),РЦ ПД Тольятти,895740,SKU_031651,Охлажденка,ФД,ТРЦ PBL,ТРЦ PBL,Да,-,-,0.14,0.17
РЦ Самара (а),РЦ ПД Пенза,128548,SKU_000804,Основной склад,ТД,ПД,ПД,Нет,-,-,2.62,3.13
РЦ Самара (а),РЦ ПД Киров,544232,SKU_041825,Охлажденка,МД,ПД,ПД,Нет,-,-,0.64,0.79
РЦ Самара (а),РЦ ПД Пенза,642952,SKU_029647,Основной склад,МД,ПД,ПД,Нет,-,-,0.93,1.17
РЦ Самара (а),РЦ ПД Тольятти,371608,SKU_023887,Основной склад,ФД,ПД,ПД,Нет,+,-,0.39,0.52
РЦ Самара (а),РЦ ПД Киров,714970,SKU_033625,Основной склад,ФД,ПД,ТРЦ PBL,Нет,-,-,5.06,5.57
РЦ Самара (а),РЦ ПД Киров,647262,SKU_008556,Пресервы,БФ,ТРЦ,ПД,Нет,-,-,2.32,2.83
РЦ Самара (а),РЦ ПД Киров,766863,SKU_028725,Основной склад,МИКС,ПД,ТРЦ,Нет,-,-,0.53,0.59
РЦ Самара (а),РЦ ПД Зеленодольск,662210,SKU_001836,5-я камера,МД,ТРЦ PBL,ФРЦ,Нет,-,-,1.0,1.08
РЦ Самара (а),РЦ ПД Тольятти,648045,SKU_021615,Основной склад,МИКС,ФРЦ,ФРЦ,Нет,-,-,0.31,0.34
РЦ Самара (а),РЦ ПД Киров,721300,SKU_017061,Основной склад,МД,МП,МП,Нет,-,-,2.8,2.98
РЦ Самара (а),РЦ ПД Киров,742362,SKU_020708,Охлажденка,ФД,ПД,ПД,Нет,-,-,0.64,0.66
РЦ Самара (а),РЦ ПД Тольятти,761652,SKU_005075,Основной склад,МД,ПД,ПД,Нет,-,-,0.73,0.76
РЦ Самара (а),РЦ ПД Киров,328707,SKU_013179,Основной склад,МД,ФРЦ,ФРЦ,Да,-,-,0.3,0.38
РЦ Самара (а),РЦ ПД Тольятти,723207,SKU_014724,Основной склад,МД,ПД,ПД,Да,-,-,1.57,1.65
РЦ Самара (а),РЦ ПД Зеленодольск,432165,SKU_027679,Основной склад,МД,ФРЦ,ФРЦ,Нет,-,-,2.56,3.46
РЦ Самара (а),РЦ ПД Пенза,462669,SKU_013416,Основной склад,МК,ТРЦ PBL,ТРЦ PBL,Нет,-,-,13.32,15.12
РЦ Самара (а),РЦ ПД Энгельс,967707,SKU_025657,Пресервы,МД,ТРЦ,ТРЦ,Нет,-,-,2.98,3.77
РЦ Самара (а),РЦ ПД Тольятти,297231,SKU_046945,Основной склад,МИКС,ПД,ПД,Нет,-,-,3.14,4.09
РЦ Самара (а),РЦ ПД Киров,782643,SKU_043646,5-я камера,МД,ПД,ПД,Нет,-,-,1.0,1.4
РЦ Самара (а),РЦ ПД Киров,118556,SKU_014745,Основной склад,БФ,ПД,ПД,Нет,-,Регион.,0.69,0.83
РЦ Самара (а),РЦ ПД Тольятти,194885,SKU_011719,Основной склад,БФ,ТРЦ PBL,ТРЦ PBL,Нет,-,Локал.,0.99,1.37
РЦ Самара (а),РЦ ПД Тольятти,857631,SKU_034181,Основной склад,МК,МП,МП,Нет,-,-,1.84,2.04
РЦ Самара (а),РЦ ПД Энгельс,673808,SKU_010450,Охлажденка,ФД,МП,МП,Да,-,-,0.36,0.43
РЦ Подольск (а),РЦ ПД Тула,215042,SKU_031762,Основной склад,МД,МП,МП,Да,-,-,4.22,4.44
